mass_g,kingdom,phylum,class,order,family,genus,species
9000.0,Animalia,Chordata,Mammalia,Carnivora,Canidae,Speothos,Speothos pacivorus
6072.0,Animalia,Chordata,Mammalia,Carnivora,Canidae,Speothos,Speothos venaticus
146.3,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia
17190.0,Animalia,Chordata,Actinopteri,Siluriformes,Bagridae,Sperata,Sperata aor
7746.0,Animalia,Chordata,Actinopteri,Siluriformes,Bagridae,Sperata,Sperata seenghala
22.77,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Spermophaga,Spermophaga haematina
18.2,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Spermophaga,Spermophaga poliogenys
23.74,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Spermophaga,Spermophaga ruficapilla
551.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilopsis,Spermophilopsis leptodactylus
140.3,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Notocitellus,Notocitellus adocetus
500.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Notocitellus,Notocitellus annulatus
325.3,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus armatus
551.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Otospermophilus,Otospermophilus atricapillus
641.7,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Otospermophilus,Otospermophilus beecheyi
283.5,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi
253.3,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus brevicauda
249.7,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus brunneus
250.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus canus
301.1,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus citellus
528.3,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus columbianus
171.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus dauricus
