taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence,form,subspecies,variety
Thlypopsis_pectoralis,15.0,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Thlypopsis,Thlypopsis pectoralis,99,,,
Thlypopsis_ruficeps,11.0,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Thlypopsis,Thlypopsis ruficeps,99,,,
Thlypopsis_sordida,17.0,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Thlypopsis,Thlypopsis sordida,99,,,
Tholeria_reversalis,0.5781,Brose_etal_2018,1.0,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Pyrausta,,94,,,
Thomasomys_apeco,249.5,Faurby_etal_2018,1.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys apeco,99,,,
Thomasomys_aureus,88.0,Faurby_etal_2018; Smith_2003,2.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys aureus,99,,,
Thomasomys_baeops,56.5,Faurby_etal_2018; Smith_2003,2.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys baeops,99,,,
Thomasomys_bombycinus,114.5,Faurby_etal_2018; Smith_2003,2.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys bombycinus,99,,,
Thomasomys_caudivarius,95.9,Faurby_etal_2018,1.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys caudivarius,99,,,
Thomasomys_cinereiventer,77.0,Faurby_etal_2018; Smith_2003,2.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys cinereiventer,99,,,
Thomasomys_cinereus,77.0,Faurby_etal_2018; Smith_2003,2.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys cinereus,99,,,
Thomasomys_cinnameus,17.0,Faurby_etal_2018,1.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys cinnameus,99,,,
Thomasomys_daphne,77.0,Faurby_etal_2018; Smith_2003,2.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys daphne,99,,,
Thomasomys_eleusis,77.0,Faurby_etal_2018; Smith_2003,2.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys eleusis,99,,,
Thomasomys_erro,46.3,Faurby_etal_2018,1.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys erro,99,,,
Thomasomys_gracilis,77.0,Faurby_etal_2018; Smith_2003,2.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys gracilis,99,,,
Thomasomys_hudsoni,23.1,Faurby_etal_2018,1.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thomasomys,Thomasomys hudsoni,99,,,
