mass_g,kingdom,phylum,class,order,family,genus,species
3.0,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Elapotinus,Elapotinus picteti
134.5,Animalia,Chordata,Squamata,Squamata,Elapidae,Elapsoidea,Elapsoidea boulengeri
24.6,Animalia,Chordata,Squamata,Squamata,Elapidae,Elapsoidea,Elapsoidea broadleyi
80.95,Animalia,Chordata,Squamata,Squamata,Elapidae,Elapsoidea,Elapsoidea guentherii
64.75,Animalia,Chordata,Squamata,Squamata,Elapidae,Elapsoidea,Elapsoidea laticincta
90.85,Animalia,Chordata,Squamata,Squamata,Elapidae,Elapsoidea,Elapsoidea loveridgei
73.8,Animalia,Chordata,Squamata,Squamata,Elapidae,Elapsoidea,Elapsoidea nigra
73.8,Animalia,Chordata,Squamata,Squamata,Elapidae,Elapsoidea,Elapsoidea semiannulata
131.9,Animalia,Chordata,Squamata,Squamata,Elapidae,Elapsoidea,Elapsoidea sundevallii
106.9,Animalia,Chordata,Squamata,Squamata,Elapidae,Elapsoidea,Elapsoidea trapei
19.08,Animalia,Chordata,Squamata,Squamata,Gekkonidae,Elasmodactylus,Elasmodactylus tetensis
9.92,Animalia,Chordata,Squamata,Squamata,Gekkonidae,Elasmodactylus,Elasmodactylus tuberculosus
13700.0,Animalia,Chordata,Mammalia,Rodentia,Heptaxodontidae,Elasmodontomys,Elasmodontomys obliquus
4100000.0,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Elasmotherium,Elasmotherium sibiricum
0.07519,Animalia,Chordata,Actinopteri,Perciformes,Elassomatidae,Elassoma,Elassoma evergladei
1.2,Animalia,Chordata,Actinopteri,Perciformes,Elassomatidae,Elassoma,Elassoma zonatum
0.035,Animalia,Arthropoda,Arachnida,Araneae,Clubionidae,Elaver,Elaver barroana
64.92,Animalia,Chordata,Aves,Coraciiformes,Momotidae,Electron,Electron carinatum
68.85,Animalia,Chordata,Aves,Coraciiformes,Momotidae,Electron,Electron platyrhynchum
10.43,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona,Electrona antarctica
10.92,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona,Electrona carlsbergi
16.1,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona,Electrona risso
9.82,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona,Electrona subaspera
20000.0,Animalia,Chordata,Actinopteri,Gymnotiformes,Gymnotidae,Electrophorus,Electrophorus electricus
2000.0,Animalia,Mollusca,Cephalopoda,Octopoda,Eledonidae,Eledone,Eledone caparti
1184.0,Animalia,Mollusca,Cephalopoda,Octopoda,Eledonidae,Eledone,Eledone cirrhosa
964.1,Animalia,Mollusca,Cephalopoda,Octopoda,Eledonidae,Eledone,Eledone moschata
1057.0,Animalia,Chordata,Actinopteri,Gadiformes,Gadidae,Eleginus,Eleginus gracilis
675.4,Animalia,Chordata,Actinopteri,Gadiformes,Gadidae,Eleginus,Eleginus nawaga
16.2,Animalia,Chordata,Aves,Passeriformes,Rhinocryptidae,Eleoscytalopus,Eleoscytalopus indigoticus
17.8,Animalia,Chordata,Aves,Passeriformes,Rhinocryptidae,Eleoscytalopus,Eleoscytalopus psychopompus
43.7,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Eleothreptus,Eleothreptus anomalus
47.65,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Eleothreptus,Eleothreptus candicans
29.59,Animalia,Chordata,Actinopteri,Perciformes,Eleotridae,Eleotris,Eleotris acanthopoma
6.102,Animalia,Chordata,Actinopteri,Perciformes,Eleotridae,Eleotris,Eleotris amblyopsis
191.9,Animalia,Chordata,Actinopteri,Perciformes,Eleotridae,Eleotris,Eleotris fusca
104.7,Animalia,Chordata,Actinopteri,Perciformes,Eleotridae,Eleotris,Eleotris oxycephala
1480.0,Animalia,Chordata,Actinopteri,Perciformes,Eleotridae,Eleotris,Eleotris picta
21.02,Animalia,Chordata,Actinopteri,Perciformes,Eleotridae,Eleotris,Eleotris pisonis
47.03,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus brachyrhynchus
49.07,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus edwardii
57.0,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus fuscipes
540.0,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus fuscus
49.48,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus intufi
47.11,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus myurus
45.0,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus pilicaudus
32.5,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus revoili
32.25,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus revoili
48.66,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus rozeti
41.83,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus rufescens
65.18,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus rupestris
13100000.0,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Palaeoloxodon,Palaeoloxodon antiquus
200000.0,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas cypriotes
3344000.0,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas maximus
1102000.0,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Palaeoloxodon mnaidriensis
13000000.0,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Omicron,Elephas namadicus
