Chioninia nicolauensis
Chioninia stangeri
Chirindia ewerbecki
Chirindia langi
Chirindia mpwapwaensis
Chirindia rondoensis
Chirindia swynnertoni
Chironius septentrionalis
Chironius spixii
Chironius vincenti
Chrysopelea rhodopleuron
Chrysotoxum sp
Clelia bicolor
Clelia errabunda
Clelia hussami
Clelia langeri
Clelia plumbea
Cnemaspis aceh
Cnemaspis adii
Cnemaspis alantika
Cnemaspis amith
Cnemaspis andalas
Cnemaspis andersonii
Cnemaspis barbouri
Cnemaspis boiei
Cnemaspis clivicola
Cnemaspis dezwaani
Cnemaspis dickersonae
Cnemaspis elgonensis
Cnemaspis gigas
Cnemaspis grismeri
Cnemaspis jacobsoni
Cnemaspis jerdonii
Cnemaspis kallima
Cnemaspis koehleri
Cnemaspis kolhapurensis
Cnemaspis laoensis
Cnemaspis leucura
Cnemaspis menikay
Cnemaspis minang
Cnemaspis modiglianii
Cnemaspis occidentalis
Cnemaspis pagai
Cnemaspis petrodroma
Cnemaspis phuketensis
Cnemaspis purnamai
Cnemaspis quattuorseriata
Cnemaspis rajabasa
Cnemaspis rajakarunai
Cnemaspis rammalensis
Cnemaspis stongensis
Cnemaspis sundagekko
Cnemaspis sundainsula
Cnemaspis tapanuli
Cnemaspis temiah
Cnemaspis timoriensis
Cnemaspis whittenorum
Cnemaspis wicksi
Cnemidophorus arubensis
Cnemidophorus cryptus
Cnemidophorus duellmani
Cnemidophorus espeuti
Cnemidophorus flavissimus
Cnemidophorus gaigei
Cnemidophorus leucopsammus
Cnemidophorus nigricolor
Cnemidophorus pseudolemniscatus
Cnemidophorus rostralis
Cnemidophorus ruatanus
Cnemidophorus ruthveni
Coelognathus enganensis
Coelognathus erythrurus
Coelognathus flavolineatus
Coelognathus philippinus
Coleonyx fasciatus
Coleonyx gypsicolus
Coleonyx mitratus
Coleonyx reticulatus
Coloptychon rhombifer
Coluber slevini
Compsophis vinckei
Compsophis zeny
Concinnia amplus
Concinnia brachyosoma
Concinnia frerei
Concinnia spinosa
Coniophanes alvarezi
Coniophanes andresensis
Coniophanes bipunctatus
Coniophanes dromiciformis
Coniophanes imperialis
Coniophanes joanae
Coniophanes lateritius
Coniophanes longinquus
Coniophanes melanocephalus
Coniophanes meridanus
Coniophanes michoacanensis
Coniophanes quinquevittatus
Coniophanes taylori
Conolophus marthae
Conophis morai
Conophis vittatus
Conopsis amphisticha
Conopsis megalodon
Contomastix leachei
Contomastix vittata
Copeoglossum margaritae
Copeoglossum nigropunctatum
Copeoglossum redondae
Corallus blombergi
Corallus cookii
Corallus hortulanus
Cordylus cloetei
Cordylus nyikae
Cordylus vittifer
Coryphomys musseri
Coryphophylax brevicaudus
Coryphophylax subcristatus
Corytophanes hernandezi
CrayVertebrate Cambarus
Crenadactylus occidentalis
Crenadactylus pilbarensis
Crotalus atrox
Crotalus cerberus
Crotalus horridus
Crotalus lutosus
Crotalus molossus
Crotalus oreganus lutosus
Crotalus scutulauts
Crotalus willardi
Crotaphopeltis braestrupi
Cryptoblepharus ahli
Cryptoblepharus eximius
Cryptoblepharus furvus
Cryptoblepharus zoticus
Cryptophis boschmai
Cryptophis incredibilis
Cryptophis nigrescens
Cryptophis nigrostriatus
Cryptophis pallidiceps
Ctenophorus mirrityana
Ctenophorus nguyarna
Ctenophorus nuchalis
Ctenophorus ornatus
Ctenophorus pictus
Ctenophorus tjantjalka
Ctenophorus yinnietharra
Ctenotus arcanus
Ctenotus capricorni
Ctenotus essingtonii
Ctenotus pallasotus
Ctenotus spaldingi
Ctenotus superciliaris
Ctenotus uber
Ctenotus vagus
Ctenotus vertebralis
Ctenotus xenopleura
Cubophis brooksi
Cubophis caymanus
Cuvieronius sp.
Cyclemys fusca
Cyclodomorphus celatus
Cyclodomorphus maxima
Cyclodomorphus praealtus
Cyclophiops doriae
Cyclophiops hamptoni
Cyclophiops herminae
Cyclophiops major
Cyclophiops multicinctus
Cyclophiops semicarinatus
Cylindrophis aruensis
Cylindrophis engkariensis
Cylindrophis lineatus
Cylindrophis opisthorhodus
Cynisca bifrontalis
Cynisca chirioi
Cynisca degrysi
