mass_g,kingdom,phylum,class,order,family,genus,species
5.808,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus pagaburoi
11.01,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus pantherinus
8.0,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus parthenos
11.38,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus parvus
29.49,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus patriciaiturrae
7.099,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus paulinae
33.41,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus petrophilus
37.02,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus pictus
11.38,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus platei
15.84,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus pleopholis
5.777,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus poconchilensis
12.31,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus porosus
9.919,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus pseudoanomalus
4.698,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus pseudolemniscatus
22.88,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus puelche
14.01,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus pulcherrimus
5.424,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus puna
29.39,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus punmahuida
33.82,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus puritamensis
14.68,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus purul
5.696,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus pyriphlogos
22.88,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus quilmes
9.919,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus rabinoi
27.9,Animalia,Chordata,Squamata,Loftusiida,Liolaemidae,Liolaemus,Liolaemus ramonensis
20.2,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus riodamas
7.822,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus riojanus
7.822,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus robertmertensi
11.6,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus robertoi
19.82,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus robustus
15.12,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus rosenmanni
37.28,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus rothi
9.381,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus ruibali
32.8,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus sagei
14.6,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus salinicola
8.621,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus sanjuanensis
31.21,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus sarmientoi
6.722,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus saxatilis
14.6,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus scapularis
9.496,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus schmidti
9.801,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus schroederi
17.09,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus scolaroi
10.81,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus scorialis
27.99,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus scrocchii
7.589,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus senguer
6.586,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus septentrionalis
32.6,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus shehuen
31.5,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus shitan
41.62,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus signifer
11.06,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus silvai
15.2,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus silvanae
16.31,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus sitesi
11.5,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus smaug
21.31,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus somuncurae
5.615,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus tacnae
22.87,Animalia,Chordata,Squamata,Hemiptera,Liolaemidae,Liolaemus,Liolaemus tacora
20.2,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus talampaya
6.118,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus tandiliensis
34.89,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus tari
13.01,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus tehuelche
13.48,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus telsen
8.489,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus tenuis
19.82,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus thermarum
15.2,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus thomasi
8.357,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus tirantii
10.4,Animalia,Chordata,Squamata,Trichoptera,Liolaemidae,Liolaemus,Liolaemus tolhuaca
